Point Loma Nazarene University	pointloma.edu	San Diego	CA
Pomona College	pomona.edu	Claremont	CA
Porterville College	portervillecollege.edu	Porterville	CA
Pacific School of Religion	psr.edu	Berkeley	CA
Riverside City College	rcc.edu	Riverside	CA
Riverside Community College District	rccd.edu	Riverside	CA
University of Redlands	redlands.edu	Redlands	CA
College of the Redwoods	redwoods.edu	Eureka	CA
Rio Hondo College	riohondo.edu	Whittier	CA
Rosemead College	rosemeadcollege.edu	Rosemead	CA
Santa Ana College	sac.edu	Santa Ana	CA
Saddleback College	saddleback.edu	Mission Viejo	CA
University of San Diego	sandiego.edu	San Diego	CA
Santa Rosa Junior College	santarosa.edu	Santa Rosa	CA
Santa Barbara City College	sbcc.edu	Santa Barbara	CA
School of Continuing Education	sce.edu	Anaheim	CA
Scripps College	scrippscollege.edu	Claremont	CA
Santa Clara University	scu.edu	Santa Clara	CA
Southern California University of Health Sciences	scuhs.edu	Whittier	CA
San Diego City College	sdcity.edu	San Diego	CA
San Diego Mesa College	sdmesa.edu	San Diego	CA
San Diego State University	sdsu.edu	San Diego	CA
San Francisco State University	sfsu.edu	San Francisco	CA
Shasta College	shastacollege.edu	Redding	CA
The Institute of Buddhist Studies	shin-ibs.edu	Berkeley	CA
Sierra College	sierracollege.edu	Rocklin	CA
Simpson University	simpsonu.edu	Redding	CA
College of the Siskiyous	siskiyous.edu	Weed	CA
San Jose State University	sjsu.edu	San Jose	CA
Starr King School for the Ministry	sksm.edu	Berkeley	CA
Skyline College	skylinecollege.edu	San Bruno	CA
Santa Monica College	smc.edu	Santa Monica	CA
San Mateo County Community College	smccd.edu	San Mateo	CA
Soka University of America	soka.edu	Aliso Viejo	CA
Solano Community College	solano.edu	(multiple locations)	CA
Sonoma State University	sonoma.edu	Rohnert Park	CA
Stanford University	stanford.edu	Stanford	CA
Saint Mary's College	stmarys-ca.edu	Moraga	CA
Taft College	taftcollege.edu	Taft	CA
Touro University California	tu.edu	Vallejo	CA
University of California, Davis	ucdavis.edu	Davis	CA
University of California, Hastings College of the Law	uchastings.edu	San Francisco	CA
University of California, Irvine	uci.edu	Irvine	CA
University of California, Los Angeles	ucla.edu	Los Angeles	CA
University of California, Los Angeles Extension	uclaextension.edu	Los Angeles	CA
University of California, Merced	ucmerced.edu	Merced	CA
University of California,	ucop.edu	Oakland	CA
University of California, Press	ucpress.edu	(multiple locations)	CA
University of California, Riverside	ucr.edu	Riverside	CA
University of California, Santa Barbara	ucsb.edu	Santa Barbara	CA
University of California, Santa Cruz	ucsc.edu	Santa Cruz	CA
University of California, Santa Cruz Silicon Valley Extension	ucsc-extension.edu	Santa Clara	CA
University of California, San Diego	ucsd.edu	La Jolla	CA
University of California, San Francisco	ucsf.edu	San Francisco	CA
University of California	universityofcalifornia.edu	Berkeley	CA
University of the Pacific	uop.edu	Stockton	CA
University of Southern California	usc.edu	Los Angeles	CA
University of San Francisco	usfca.edu	San Francisco	CA
San Bernardino Valley College	valleycollege.edu	San Bernardino	CA
Ventura College	venturacollege.edu	Ventura	CA
Victor Valley College	vvc.edu	Victorville	CA
West Coast Baptist College	wcbc.edu	Lancaster	CA
Western University of Health Sciences	westernu.edu	Pamona	CA
Westmont College	westmont.edu	Santa Barbara	CA
West Valley College	westvalley.edu	Saratoga	CA
West Hills Community College District	whccd.edu	Coalinga	CA
Whittier College	whittier.edu	Whittier	CA
West Los Angeles College	wlac.edu	Culver City	CA
Yuba Community College District	yccd.edu	Marysville	CA
Yosemite Community College District	yosemite.edu	Modesto	CA
Unitek College	unitekcollege.edu	Fremont	CA
Vanguard University	vanguard.edu	Costa Mesa	CA
Southwestern College	swcc.edu	Chula Vista	CA
Monterey Institute of International Studies	miis.edu	Monterey	CA
Adams State University	adams.edu	Alamosa	CO
Auraria Higher Education Center	ahec.edu	Denver	CO
Aims Community College	aims.edu	Greeley	CO
Arapahoe Community College	arapahoe.edu	Littleton	CO
Community College of Aurora	ccaurora.edu	(multiple locations)	CO
Community College of Denver	ccd.edu	Denver	CO
Colorado Heights University	chu.edu	Denver	CO
University of Colorado Boulder	colorado.edu	Boulder	CO
Colorado College	coloradocollege.edu	Colorado Springs	CO
Colorado Mesa University	coloradomesa.edu	Grand Junction	CO
Colorado State University	colostate.edu	Fort Collins	CO
Colorado State University-Pueblo	colostate-pueblo.edu	Pueblo	CO
