,datetime,IP,startYear,endYear,num_uni,num_author,CL,TACL,ACL_C,NAACL_C,EMNLP_C,CoNLL_C,EACL_C,COLING,IJCNLP,WKSPDEMO
99,2020-02-13 00:28:00.568299,173.48.214.129,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
100,2020-02-13 00:28:50.300405,185.49.1.99,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
101,2020-02-13 00:28:52.298305,185.49.1.99,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
102,2020-02-13 01:03:42.972696,66.249.79.175,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
103,2020-02-13 01:03:44.443219,66.249.79.173,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
104,2020-02-13 01:51:04.516692,91.207.137.43,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
105,2020-02-13 01:51:05.105160,91.207.137.43,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
106,2020-02-13 01:52:19.531490,91.207.137.43,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
107,2020-02-13 02:01:11.145188,213.5.216.28,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
108,2020-02-13 02:02:55.353004,213.5.216.28,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
109,2020-02-13 02:03:55.507810,213.5.216.28,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
110,2020-02-13 02:34:43.500970,178.217.120.2,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
111,2020-02-13 02:35:56.860266,178.217.120.2,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
112,2020-02-13 02:39:41.682629,178.217.120.2,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
113,2020-02-13 02:43:13.627565,195.211.91.54,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
114,2020-02-13 02:43:50.787030,195.211.91.54,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
115,2020-02-13 02:46:19.471625,195.211.91.54,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
116,2020-02-13 02:57:57.517839,62.78.92.109,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
117,2020-02-13 02:58:46.510339,62.78.92.109,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
118,2020-02-13 02:59:19.818599,62.78.92.109,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
119,2020-02-13 03:31:39.759194,81.28.208.174,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
120,2020-02-13 03:34:35.743596,81.28.208.174,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
121,2020-02-13 03:34:50.634411,81.28.208.174,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
122,2020-02-13 03:38:47.285704,78.41.92.26,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
123,2020-02-13 03:45:40.041142,78.41.92.26,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
124,2020-02-13 03:46:11.002698,78.41.92.26,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
125,2020-02-13 04:14:16.879794,223.71.167.163,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
126,2020-02-13 04:22:11.453947,106.75.118.223,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
127,2020-02-13 04:22:12.459815,106.75.85.117,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
128,2020-02-13 04:22:27.046053,106.75.118.223,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
129,2020-02-13 04:22:27.059001,106.75.85.117,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
130,2020-02-13 04:40:04.018915,217.13.220.30,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
131,2020-02-13 04:41:00.141567,217.13.220.30,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
132,2020-02-13 04:41:00.551642,217.13.220.30,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
133,2020-02-13 05:09:34.084991,91.210.203.1,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
134,2020-02-13 05:09:55.409285,91.210.203.1,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
135,2020-02-13 05:13:19.704026,91.210.203.1,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
136,2020-02-13 05:27:38.939847,195.88.41.254,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
137,2020-02-13 05:28:53.825820,195.88.41.254,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
138,2020-02-13 05:30:45.593729,62.78.81.158,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
139,2020-02-13 05:30:59.174934,62.78.81.158,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
140,2020-02-13 05:31:58.577713,195.88.41.254,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
141,2020-02-13 05:32:36.311769,62.78.81.158,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
142,2020-02-13 05:32:40.400700,91.235.7.2,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
143,2020-02-13 05:34:26.507404,91.221.176.14,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
